#Rank,University,Town
518,Universitas Iskandarmuda,Banda Aceh
519,Universitas Pejuang Republik Indonesia,Makassar
520,Universitas Pramita Indonesia,Tangerang
521,Universitas Sains Cut Nyak Dhien,Langsa
522,Universitas San Pedro,Kupang
523,Universitas Kristen Wira Wacana Sumba,Sumba Timur
524,Universitas Tabanan,Tabanan
525,Universitas Teknologi Sulawesi Utara,Manado
526,Universitas Pawyatan Daha,Kediri
527,Universitas Wiraswasta Indonesia,Jakarta
528,Universitas Bakti Indonesia,Banyuwangi
529,Universitas Dumoga Kotamobagu,Kotamobagu
530,Universitas Sawerigading Makassar,Makassar
531,Universitas Sari Putra Tomohon,Tomohon
531,Universitas Victory Sorong,Sorong
533,Universitas Mayjen Sungkono,Mojokerto
534,Universitas Billfath,Lamongan
535,Universitas Merdeka Ponorogo,Ponorogo
536,Universitas Indonesia Timur,Makassar
537,Universitas Tompotika,Banggai
538,Universitas Kaltara,Tanjung Selor
539,Universitas Sulawesi Tenggara,Kendari
540,Universitas Islam Ogan Komering Ilir Kayuagung,Kayu Agung
541,Universitas Sunan Bonang,Tuban
542,Universitas Nahdlatul Ulama Sumatera Utara,Deli Serdang
542,Universitas Surapati,Jakarta
542,Universitas Madako Toli-toli,Tolitoli
545,Universitas Nahdlatul Ulama Kalimantan Selatan,Banjar
546,Universitas Doktor Nugroho Magetan,Magetan
546,Universitas Tridharma Balikpapan,Balikpapan
546,Universitas Mochammad Sroedji,Jember
549,Universitas Nani Bili Nusantara,Aimas
550,Universitas Kartini,Surabaya
551,Universitas Islam Labuhan Batu,Labuhan Batu
552,Universitas Persatuan Guru 1945 NTT,Kupang
553,Universitas Cordova,Sumbawa Barat
553,Universitas Teknologi Sulawesi,Makassar
555,Universitas Prisma,Manado
556,Universitas Megou Pak Tulang Bawang,Tulang Bawang
557,Universitas Kristen Palangka Raya,Palangka Raya
558,Universitas Karya Dharma Makassar,Makassar
559,Universitas Ottow Geissler,Jayapura
560,Universitas Trunajaya,Bontang
561,Universitas Wahidiyah,Kediri
562,Universitas PGRI Wiranegara,Pasuruan
563,Universitas Lumajang,Lumajang
564,Universitas Nahdlatul Ulama Sulawesi Tenggara,Kendari
564,Universitas Nuku,Tidore Kepulauan
566,Universitas Mohammad Natsir Bukittinggi,Bukittinggi
567,Universitas Nusa Lontar Rote,Rote-Ndao
568,Universitas Teknologi Surabaya,Surabaya
569,Universitas Satya Wiyata Mandala,Nabire
570,Universitas Sisingamangaraja XII Tapanuli,Tapanuli Utara
571,Universitas Pasifik Morotai,Morotai
572,Universitas Pepabri Makassar,Makassar
573,Universitas Aryasatya Deo Muri,Kupang
574,Universitas Karyadarma Kupang,Kupang
575,Universitas Islam Sumatera Barat,Solok
576,Universitas Teknologi Indonesia,Denpasar
577,Universitas Kristen Tentena,Poso
578,Universitas Karo,Karo
